hex_id;geometry
23;8880104f63fffff;POLYGON ((-38.43861493701582 -3.8060212068051356, -38.4345951422767 -3.8026436276538935, -38.43551409699315 -3.797472455011692, -38.440452802241104 -3.795678799545208, -38.44447263680613 -3.799056332006253, -38.44355372630907 -3.804227566614798, -38.43861493701582 -3.8060212068051356))
24;8880104ce9fffff;POLYGON ((-38.51786395412302 -3.7240182573653073, -38.513843559629436 -3.720641239960967, -38.5147619995051 -3.715469663400573, -38.51970078926027 -3.713675043139895, -38.52372122243586 -3.717052013446537, -38.52280282718601 -3.7222236511023556, -38.51786395412302 -3.7240182573653073))
25;8880104087fffff;POLYGON ((-38.53476437576304 -3.863022136421754, -38.530742984347334 -3.859644329909151, -38.531661512931784 -3.8544724493078277, -38.53660138821191 -3.852678314683512, -38.54062281808229 -3.8560560751358275, -38.539704334229626 -3.8612280162635324, -38.53476437576304 -3.863022136421754))
26;8880104e29fffff;POLYGON ((-38.4982283449659 -3.808558315628204, -38.49420774023805 -3.8051807814136738, -38.49512638966343 -3.8000092094009443, -38.50006559929532 -3.798215110439376, -38.50408624299554 -3.8015925981184293, -38.50316763810326 -3.806764231285327, -38.4982283449659 -3.808558315628204))
27;8880107b65fffff;POLYGON ((-38.56852047360229 -3.7249628720257033, -38.5644994067944 -3.721585898652019, -38.56541758357906 -3.7164139911721192, -38.570356782291434 -3.7146189966489795, -38.57437788705558 -3.7179959230482673, -38.57345975516285 -3.723167890935876, -38.56852047360229 -3.7249628720257033))
28;8880104c4bfffff;POLYGON ((-38.50373997176458 -3.7775287120314847, -38.499719466584104 -3.7741513645219875, -38.500638047925165 -3.7689797992009115, -38.50557708990025 -3.767185520224505, -38.50959763397082 -3.7705628209882227, -38.50867909718798 -3.7757344474649273, -38.50373997176458 -3.7775287120314847))
29;8880104187fffff;POLYGON ((-38.47203992062898 -3.8519345799515183, -38.468019423054905 -3.84855676762706, -38.468938263437884 -3.8433853142127625, -38.47387755700592 -3.8415916117118534, -38.47789809393224 -3.8449693777525833, -38.47697929795003 -3.8501408925687586, -38.47203992062898 -3.8519345799515183))
30;8880104ecbfffff;POLYGON ((-38.56646267892365 -3.7886090135748933, -38.562441284849164 -3.785231667034872, -38.563359553290155 -3.780059676251098, -38.56829917092834 -3.7782649717181864, -38.572320602995276 -3.7816422717361333, -38.57140237944332 -3.7868143227998456, -38.56646267892365 -3.7886090135748933))
31;888010419bfffff;POLYGON ((-38.504778855438396 -3.849721194916412, -38.50075793467094 -3.846343430525677, -38.50167660241822 -3.841171762934844, -38.50661614637213 -3.8393777987609234, -38.51063710602256 -3.8427555169270025, -38.509718482847866 -3.847927245482456, -38.504778855438396 -3.849721194916412))
32;88801040e3fffff;POLYGON ((-38.523047370165855 -3.8769539386152285, -38.51902605591363 -3.8735760400919204, -38.519944663264404 -3.8684042203739346, -38.52488454020721 -3.8666102385193897, -38.52890589308354 -3.8699880910556583, -38.52798733040471 -3.8751599714243006, -38.523047370165855 -3.8769539386152285))
33;8880107b63fffff;POLYGON ((-38.58333839776637 -3.719577795156574, -38.57931716697963 -3.7162008684839187, -38.58023525933439 -3.711028874194978, -38.58517453751858 -3.709233746349172, -38.58919580604863 -3.7126106260429075, -38.58827775866292 -3.717782680552148, -38.58333839776637 -3.719577795156574))
34;88801040e9fffff;POLYGON ((-38.520291529889136 -3.8924694863026335, -38.51627016570186 -3.8890914973699244, -38.5171888071321 -3.883919678678183, -38.52212876810198 -3.882125788260145, -38.52615017095451 -3.885503731311021, -38.52523157418365 -3.8906756106525586, -38.520291529889136 -3.8924694863026335))
35;8880104f3bfffff;POLYGON ((-38.46204550492908 -3.7781610714693827, -38.45802555139418 -3.774783679298866, -38.45894434965582 -3.7696123887529907, -38.463883057124946 -3.7678184286505756, -38.46790305014718 -3.771195773984295, -38.46698429622471 -3.776367126248041, -38.46204550492908 -3.7781610714693827))
36;8880104f43fffff;POLYGON ((-38.45963385687992 -3.817737980302822, -38.45561371533885 -3.814360353254088, -38.45653257641199 -3.8091890249509013, -38.461471534706604 -3.807395262033753, -38.46549171577388 -3.810772842524577, -38.464572899032085 -3.815944232481268, -38.45963385687992 -3.817737980302822))
37;8880104e27fffff;POLYGON ((-38.492024528373456 -3.791460181722277, -38.48800410122713 -3.7880827408310553, -38.4889227611099 -3.782911233046966, -38.49386180365238 -3.781117104864948, -38.49788226985811 -3.7844944990836162, -38.49696365447372 -3.7896660681476617, -38.492024528373456 -3.791460181722277))
