;CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON;Zonas;TIPO
33;12109398;CHURRASCARIA E PIZZARIA BRASAO;5611201;QUEIROZ RIBEIRO ,580 - MONTESE ,FORTALEZA - CE;1904;-3.7634674;-38.54653809577465;Zona_13;restaurante pizzaria pizza
34;10963777;LA DANCE;4781400;PADRE ANTONIO TOMAS ,850 - ALDEOTA ,FORTALEZA - CE;1319;-3.74169275;-38.49594988264977;Zona_241;moda confeccoes modas
35;18255262;SOLARES;6810201;NUNES VALENTE ,2184 - DIONISIO TORRES ,FORTALEZA - CE;13100;-3.7484568;-38.5076668;Zona_220;empreendimentos imoveis imobiliarios
36;51528306;DASART TRANSPORTE & LOGISTICA;4930202;MANOEL COSTA ,3377 - PAUPINA ,FORTALEZA - CE;10627;-3.85933345;-38.49590555399913;Zona_356;transportes transporte logistica
37;9426693;L E A;9430800;IDELFONSO ALBANO ,2400 - ALDEOTA ,FORTALEZA - CE;8510;-3.7422596;-38.5165876;Zona_42;instituto associacao escolar
38;24636744;ART GALERIE;4789099;OSVALDO CRUZ ,01 - MEIRELES ,FORTALEZA - CE;11640;-3.7266741;-38.4974318;Zona_290;embalagens festas casa
39;42478964;BRASIL SOLUTION;8211300;ANTENOR ROCHA ALEXANDRE ,101 - PARQUE MANIBURA ,FORTALEZA - CE;176;-3.79222215;-38.4853659875;Zona_100;servicos consultoria coworking
40;30810771;MDK;1412601;CONSELHEIRO ARAUJO LIMA ,1000 - DOM LUSTOSA ,FORTALEZA - CE;4244;-3.7532878;-38.5845805;Zona_97;confeccoes jeans moda
41;32200981;MBF HOLDING CENTER PARTICIPACOES;6462000;BARAO DO RIO BRANCO ,1224 - CENTRO ,FORTALEZA - CE;11090;-3.7289792;-38.5294059;Zona_227;participacoes holding empreendimentos
42;43866713;REGIS TAVARES GESTAO IMOBILIARIA;6822600;PEREIRA FILGUEIRAS ,2020 - ALDEOTA ,FORTALEZA - CE;13684;-3.7308005;-38.5053975;Zona_173;imoveis imobiliaria gestao
43;37706367;BAGAGEM TREND;1412601;PERU ,1270 - ITAOCA ,FORTALEZA - CE;4256;-3.772783;-38.5510301;Zona_304;confeccoes jeans moda
44;17801040;EIRLES COACHING E DESEVOLVIMENTO HUMANO;8599604;DEPUTADO JOAO LOPES ,64 - CENTRO ,FORTALEZA - CE;5856;-3.72594175;-38.522435618721474;Zona_95;consultoria treinamentos servicos
45;12166259;PIZZARIA DORO LTDA;5611201;PEREIRA FILGUEIRAS ,564 - CENTRO ,FORTALEZA - CE;1905;-3.7268877;-38.5177846;Zona_95;restaurante pizzaria pizza
46;1291549;FERA DA ONDA;1412601;WENEFRIDO MELO ,259 - MONDUBIM ,FORTALEZA - CE;4145;-3.8095257;-38.5762778;Zona_188;confeccoes jeans moda
47;8749280;RESIDENCIAL JOSE ALVINO DANTAS;8112500;ANTONIO ALEXANDRINO DOS REIS ,237 - PASSARE ,FORTALEZA - CE;7214;-3.8012189;-38.5379006;Zona_135;condominio edificio residencial
48;10771257;SOLUTION ENGENHARIA & CONSULTORIA;7112000;PADRE ANTONIO TOMAS ,4735 - COCO ,FORTALEZA - CE;6803;-3.7438445;-38.4879414;Zona_154;engenharia servicos consultoria
49;1954921;RESTAURANTE NOSSA SENHORA APARECIDA;4712100;BARAO DO RIO BRANCO ,1865 - FATIMA ,FORTALEZA - CE;3779;-3.7453229;-38.5341934;Zona_75;mercadinho comercial mercearia
50;42941243;WEB SUSHI;5620104;MARIO ALENCAR ARARIPE ,2284 - JOSE DE ALENCAR ,FORTALEZA - CE;14911;-3.8094166;-38.4770223;Zona_342;marmitaria pizzaria galeteria
51;53060016;DENISE BRINGEL ARQUITETURA;7111100;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;15883;-3.7372857;-38.4994708;Zona_207;arquitetura estudio projetos
52;73643512;FABIANO AUTOREPASSE;4511102;ALBERTO CRAVEIRO ,3695 - BOA VISTA ,FORTALEZA - CE;11960;-3.7876106;-38.5173076;Zona_249;veiculos car multimarcas
53;803380;AUTO ELETRICA EDVALDO;4530703;RUI BARBOSA ,3260 - JOAQUIM TAVORA ,FORTALEZA - CE;9071;-3.7461222;-38.5126943;Zona_315;pecas auto servicos
54;27048273;RECRUTAH CURSOS;8599604;DA UNIVERSIDADE ,3239 - BENFICA ,FORTALEZA - CE;5573;-3.7440363;-38.54156947223319;Zona_75;consultoria treinamentos servicos
55;50857264;CN ODONTOLOGIA;8630504;BARAO DE ARATANHA ,186 - CENTRO ,FORTALEZA - CE;7648;-3.7348494;-38.5270263;Zona_317;odontologia clinica odonto
56;45300475;VILLAZULLI;8211300;PERO COELHO ,196 - CENTRO ,FORTALEZA - CE;866;-3.73312635;-38.523121187133256;Zona_317;servicos consultoria coworking
57;49240174;BISTRO 2143;5611201;SANTOS DUMONT ,2143 - ALDEOTA ,FORTALEZA - CE;2108;-3.7339018;-38.5048506;Zona_173;restaurante pizzaria pizza
58;24055190;EUROVIP CAR SERVICE;4520001;ROGACIANO LEITE ,2909 - JARDIM DAS OLIVEIRAS ,FORTALEZA - CE;10060;-3.7845637;-38.5025455;Zona_322;auto car center
59;33413140;USE SOLARE;4781400;SARGENTO HERMINIO SAMPAIO ,3100 - PRESIDENTE KENNEDY ,FORTALEZA - CE;1810;-3.7259988;-38.5676153;Zona_127;moda confeccoes modas
60;25299253;***;6209100;SANTOS DUMONT ,2828 - ALDEOTA ,FORTALEZA - CE;8745;-3.7363774;-38.4997069882904;Zona_207;tecnologia consultoria servicos
61;23062361;MADALU;4781400;PROFESSOR JACINTO BOTELHO ,51 - GUARARAPES ,FORTALEZA - CE;1692;-3.75771325;-38.49049084557825;Zona_114;moda confeccoes modas
62;16366848;MULTIPLUS SERVICOS;8211300;ENGENHEIRO ALBERTO SA ,567 - VICENTE PINZON ,FORTALEZA - CE;37;-3.7344817;-38.4754295;Zona_103;servicos consultoria coworking
63;954224;MUNDO VERDE PRODUTOS NATURAIS;4712100;GENERAL CLARINDO DE QUEIROZ ,641 - CENTRO ,FORTALEZA - CE;3424;-3.7329985;-38.5299931;Zona_227;mercadinho comercial mercearia
64;45220271;NOGUEIRA PARTICIPACOES;6462000;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;11188;-3.7265218;-38.5295116;Zona_227;participacoes holding empreendimentos
65;12298626;TRANSFREITAS;8211300;DOUTOR GILBERTO STUDART ,55 - COCO ,FORTALEZA - CE;334;-3.7413961;-38.4873288;Zona_154;servicos consultoria coworking
66;37830589;COMERCIAL SAO MIGUEL;4744099;GODOFREDO DE OLIVEIRA ,287 - MONDUBIM ,FORTALEZA - CE;8186;-3.8099952;-38.5581118;Zona_112;construcao construcoes deposito
67;3703954;CONDOMINIO RESIDENCIAL OURO BRANCO;8112500;LIDIA BRIGIDO ,151 - PARQUE MANIBURA ,FORTALEZA - CE;7447;-3.7936367;-38.4843623;Zona_100;condominio edificio residencial
68;47712148;BELA BIJU;4755502;BARAO DO RIO BRANCO ,1430 - CENTRO ,FORTALEZA - CE;16238;-3.7337009;-38.5305627;Zona_227;variedades aviamentos presentes
69;33963744;Massa & Cia Pastelaria;5611203;CONSELHEIRO TRISTAO ,1475 - CENTRO ,FORTALEZA - CE;4780;-3.7356724;-38.52581375669651;Zona_317;acai lanches cafe
