CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
26438899;VENUE OFFICE E COWORKING;8211300;TIBURCIO CAVALCANTE ,1958 - ALDEOTA ,FORTALEZA - CE;77
26490769;ECOZILA COWORKING;8211300;LEONARDO MOTA ,2117 - ALDEOTA ,FORTALEZA - CE;78
26606019;ML ADMINISTRACAO E SERVICOS;8211300;WASHINGTON SOARES ,55 - EDSON QUEIROZ ,FORTALEZA - CE;79
26943024;J A SERVICOS;8211300;PADRE FRANCISCO PITA ,920 - JARDIM DAS OLIVEIRAS ,FORTALEZA - CE;80
27014481;ABM GESTAO DE NEGOCIOS;8211300;BARBOSA DE FREITAS ,1741 - ALDEOTA ,FORTALEZA - CE;81
27037433;C&N SERVICOS;8211300;CONTORNO NORTE ,1594 - CONJUNTO ESPERANCA ,FORTALEZA - CE;82
27744876;HILTON SERVICOS;8211300;LUMINOSA ,1377 - GRANJA PORTUGAL ,FORTALEZA - CE;83
27969506;JBRNT APOIO ADMINISTRATIVO;8211300;GODOFREDO MACIEL ,2440 - MARAPONGA ,FORTALEZA - CE;84
28433267;TSD SERVICOS;8211300;WASHINGTON SOARES ,55 - EDSON QUEIROZ ,FORTALEZA - CE;85
27251398;ZEMILTON SERVICOS;8211300;ARARIPE MACEDO ,403 - JOQUEI CLUBE ,FORTALEZA - CE;86
28806924;I B ARRAIS SERVICOS ADMINISTRATIVOS;8211300;JULIO CESAR ,48 - BOM FUTURO ,FORTALEZA - CE;87
28857509;TRILOGO HUB;8211300;DOUTOR ERNESTO MONTEIRO ,1305 - SAPIRANGA / COITE ,FORTALEZA - CE;88
29322253;HARY SINDICO PROFISSIONAL;8211300;DESEMBARGADOR JOSE GIL DE CARVALHO ,162 - CAMBEBA ,FORTALEZA - CE;89
29446380;RDL ASSESSORIA ADMINISTRATIVA;8211300;BARBOSA DE FREITAS ,1741 - ALDEOTA ,FORTALEZA - CE;90
28327472;TDP REPRESENTACOES E COMERCIO;8211300;DAS CARNAUBAS ,176 - EDSON QUEIROZ ,FORTALEZA - CE;91
29793260;MASTER SERVICE;8211300;OLIVEIRA PAIVA ,201 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;92
30611816;ARCUS CONSTRUTORA;8211300;MINISTRO JOSE AMERICO ,326 - PARQUE IRACEMA ,FORTALEZA - CE;93
