CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
69718831;CB FITNESS;9313100;PADRE ANTONIO TOMAZ ,199 - ALDEOTA ,FORTALEZA - CE;9630
18318119;KEEP IN SHAPE ACADEMIA;9313100;VILEBALDO AGUIAR ,1270 - PAPICU ,FORTALEZA - CE;9645
26509825;ATIVA FIT;9313100;LUCIANO QUEIROS ,1605 - JOAO XXIII ,FORTALEZA - CE;9665
51785188;CTMP CENTRO DE TREINAMENTO MUSCULACAO PERSONALIZADO;9313100;PRESIDENTE JUSCELINO KUBITSCHEK ,3561 - PASSARE ,FORTALEZA - CE;9705
35020130;STAMP ACADEMIA;9313100;EUCLIDES O DE SOUSA ,451 - PQUE AGUA FRIA ,FORTALEZA - CE;9714
3140024;ARTE SPORT;9313100;DAS ACACIAS ,425 - CIDADE 2000 ,FORTALEZA - CE;9715
10464546;JERRY ACADEMIA;9313100;TENENTE CORONEL ESIO LIMAVERDE ,144 - EDSON QUEIROZ ,FORTALEZA - CE;9720
25063188;BODY4LIFE;9313100;XII (CJ CIDADE OESTE) ,173 - QUINTINO CUNHA ,FORTALEZA - CE;9737
24869657;STUDIO BLACK STAR;9313100;PADRE ANTONIO TOMAS ,405 - MANUEL DIAS BRANCO ,FORTALEZA - CE;9743
32766542;J M FITNESS;9313100;B (BARROSO II) ,3641 - PASSARE ,FORTALEZA - CE;9752
33083698;FOUR FIT;9313100;MARECHAL MANOEL CASTELO BRANCO ,352 - MESSEJANA ,FORTALEZA - CE;9753
37793719;ACADEMIA BC2;9313100;LOURIVAL CORREIA PINHO ,374 - PARQUE MANIBURA ,FORTALEZA - CE;9760
30430652;RODRIGO DIAS CONSULTORIA DE TREINOS;9313100;7 LOT SANTIAGO DE COMPOSTELA ,1108 - PASSARE ,FORTALEZA - CE;9766
44521207;MOBISFISIO - FISIOTERAPIA E PILATES;9313100;PADRE PEDRO DE ALENCAR ,1791 - PAUPINA ,FORTALEZA - CE;9769
51565152;ACADEMIA MANA'S;9313100;JOVINA COIMBRA ,447 - CANINDEZINHO ,FORTALEZA - CE;9779
52987621;AF FITNESS;9313100;15 (PLANALTO ITAPERY) ,190 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;9783
8003221;CENTRAL FITNESS;9313100;C ,S/N - ITAPERI ,FORTALEZA - CE;9793
6925106;MAXIMUS ACADEMIA;9313100;DR. JOAO AMORA ,494 - VILA MANOEL SATIRO ,FORTALEZA - CE;9795
20309055;VITA + FITNESS;9313100;ENGENHEIRO HUMBERTO MONTE ,1720 - AMADEU FURTADO ,FORTALEZA - CE;9798
12243475;PILATESPOINT;9313100;TOMAS ACIOLI ,964 - ALDEOTA ,FORTALEZA - CE;9799
18491165;ACADEMIA VERAO BEACH;9313100;LINEU PAULO MACHADO ,227 - BOM SUCESSO ,FORTALEZA - CE;9808
19732179;DM TEAM;9313100;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;9811
19748527;N&N FITNESS;9313100;LUIZ VIEIRA (PERIMETRAL) ,168 - PARQUE SAO JOSE ,FORTALEZA - CE;9812
21671358;RICARDO LIMA ASSESSORIA ESPORTIVA;9313100;20 (CJ RIACHO DOCE) ,104 - PASSARE ,FORTALEZA - CE;9816
22495381;TOM FITINESS;9313100;DE CONTORNO LESTE CJ SAO CRISTOVAO ,372 - JANGURUSSU ,FORTALEZA - CE;9817
24984102;MUAY THAI HOUSE;9313100;N (LOT PARQUE MONTENEGRO II) ,547 - PREFEITO JOSE WALTER ,FORTALEZA - CE;9822
34146326;ACADEMIA M7 FITNESS;9313100;D ,69 - SIQUEIRA ,FORTALEZA - CE;9838
41731355;ACADEMIA GYM FIT;9313100;PEDRO MARTINS ,455 - BOM JARDIM ,FORTALEZA - CE;9846
46130448;FORCA MAX ACADEMIA;9313100;RAPHAEL LIRA PEREIRA ,49 - MONDUBIM ,FORTALEZA - CE;9849
48957194;IRON HOUSE;9313100;EINSTEIN (VILA PERY) ,383 - VILA PERI ,FORTALEZA - CE;9855
49825563;BOX INOVA RED;9313100;RAIMUNDO ROCHA MENESES ,50 - OLAVO OLIVEIRA ,FORTALEZA - CE;9858
86686839;AUTO MECANICA ISAC;4520001;GONCALVES LEDO ,28 - MEIRELES ,FORTALEZA - CE;9873
13030191;W M SERVICE CAR;4520001;JOSE ANTONIO ,38 - PICI ,FORTALEZA - CE;9883
16666255;F B CAR;4520001;FRANCISCO SA ,5816 - BARRA DO CEARA ,FORTALEZA - CE;9887
12960026;DSC AUTOCENTER;4520001;A LOTEAMENTO PARQUE MONTENEGRO I ,502 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;9891
23865646;XTREME;4520001;FAUSTO CABRAL ,445 - PAPICU ,FORTALEZA - CE;9899
30798505;GILCAR SOLUCOES VEICULAR;4520001;PROFESSOR FRANCICO CARLOS ,1095 - PAUPINA ,FORTALEZA - CE;9912
35167174;1.000 SOLUCOES OFICINA MOVEL;4520001;DONA BRANCA ,149 - ANTONIO BEZERRA ,FORTALEZA - CE;9919
37662857;ELVIS CAR;4520001;CORONEL CARVALHO ,244 - VILA VELHA ,FORTALEZA - CE;9929
45249647;VIP CAR;4520001;SANTANA DO PARNAIBA ,310 - BOA VISTA / CASTELAO ,FORTALEZA - CE;9932
35224005;REGULAGEM O QUIXADA;4520001;DELMIRO DE FARIAS ,244 - MONTESE ,FORTALEZA - CE;9950
7118131;RCAS SERVICOS AUTOMOTIVOS;4520001;LINEU MACHADO ,102 - JOQUEI CLUB ,FORTALEZA - CE;9953
11807708;HOLLY BUGGY;4520001;RODRIGUES JUNIOR ,555 - CENTRO ,FORTALEZA - CE;9955
8278941;M & T PARA-BRISAS;4520001;DOUTOR RAUL BARBOSA ,5980 - AEROLANDIA ,FORTALEZA - CE;9976
30286436;OFICINA BONS AMIGOS;4520001;BENEDITO DE SOUSA ,90 - PAUPINA ,FORTALEZA - CE;9995
30359203;OFICINA TONY CAR;4520001;B DO LOTEAMENTO ESPLANADA DO MONDUBIM ,435 - ARACAPE ,FORTALEZA - CE;9996
31788083;AUTO ELETRICA E MECANICA IGUATU.;4520001;B (CJ BARROSO II) ,3731 - PASSARE ,FORTALEZA - CE;9998
30903572;AUTO ELETRICA BOAS NOVAS;4520001;D (LOT. CENTRO SUL) ,81 - PARANGABA ,FORTALEZA - CE;10019
41580952;POSTO DE LAVAGEM SANTA EDWIGES;4520001;A ,784 - CONJUNTO CEARA ,FORTALEZA - CE;10037
35017615;J. MAURICIO;4520001;D. JERONIMO ,281 - OTAVIO BOMFIM ,FORTALEZA - CE;10038
