CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON
24055190;EUROVIP CAR SERVICE;4520001;ROGACIANO LEITE ,2909 - JARDIM DAS OLIVEIRAS ,FORTALEZA - CE;10060;-3.7845637;-38.5025455
33413140;USE SOLARE;4781400;SARGENTO HERMINIO SAMPAIO ,3100 - PRESIDENTE KENNEDY ,FORTALEZA - CE;1810;-3.7259988;-38.5676153
25299253;***;6209100;SANTOS DUMONT ,2828 - ALDEOTA ,FORTALEZA - CE;8745;-3.7363774;-38.4997069882904
23062361;MADALU;4781400;PROFESSOR JACINTO BOTELHO ,51 - GUARARAPES ,FORTALEZA - CE;1692;-3.75771325;-38.49049084557825
16366848;MULTIPLUS SERVICOS;8211300;ENGENHEIRO ALBERTO SA ,567 - VICENTE PINZON ,FORTALEZA - CE;37;-3.7344817;-38.4754295
954224;MUNDO VERDE PRODUTOS NATURAIS;4712100;GENERAL CLARINDO DE QUEIROZ ,641 - CENTRO ,FORTALEZA - CE;3424;-3.7329985;-38.5299931
45220271;NOGUEIRA PARTICIPACOES;6462000;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;11188;-3.7265218;-38.5295116
12298626;TRANSFREITAS;8211300;DOUTOR GILBERTO STUDART ,55 - COCO ,FORTALEZA - CE;334;-3.7413961;-38.4873288
37830589;COMERCIAL SAO MIGUEL;4744099;GODOFREDO DE OLIVEIRA ,287 - MONDUBIM ,FORTALEZA - CE;8186;-3.8099952;-38.5581118
3703954;CONDOMINIO RESIDENCIAL OURO BRANCO;8112500;LIDIA BRIGIDO ,151 - PARQUE MANIBURA ,FORTALEZA - CE;7447;-3.7936367;-38.4843623
47712148;BELA BIJU;4755502;BARAO DO RIO BRANCO ,1430 - CENTRO ,FORTALEZA - CE;16238;-3.7337009;-38.5305627
33963744;Massa & Cia Pastelaria;5611203;CONSELHEIRO TRISTAO ,1475 - CENTRO ,FORTALEZA - CE;4780;-3.7356724;-38.52581375669651
24486258;CONTABILIDADE FARIAS OLIVEIRA;6920601;VISCONDE DE MAUA ,2600 - MEIRELES ,FORTALEZA - CE;6053;-3.7319408;-38.498056
7821924;APRESF;9430800;MARCONDES PEREIRA ,1460 - DIONISIO TORRES ,FORTALEZA - CE;8477;-3.75058275;-38.50385014189256
5133406;COEGEMAS;9430800;MARIA TOMASIA ,230 - ALDEOTA ,FORTALEZA - CE;8553;-3.7349445;-38.4999557
8923126;EMPORIO DEL QUARTIERE;1091102;JAIME PINHEIRO ,177 - PATRIOLINO RIBEIRO ,FORTALEZA - CE;14221;-3.7599666;-38.4880365
7849733;CEICA ESTETICA;9602502;INSTITUTO DO CEARA ,188 - BENFICA ,FORTALEZA - CE;15242;-3.7385648;-38.53625615281162
17134402;TEMPERO D REGIA;5611201;JOAO REGINO ,820 - PARQUE MANIBURA ,FORTALEZA - CE;1922;-3.7947198;-38.4827618928282
18660420;IPU MOTOS;4541206;H ,1006 - CONJUNTO CEARA ,FORTALEZA - CE;16510;-3.772155;-38.6189027
11969455;TRIUNFO OTICA;4774100;BEZERRA DE MENEZES ,2450 - SAO GERARDO ,FORTALEZA - CE;11218;-3.73493465;-38.5659868071884
7402604;W10 PRODUCOES;8230001;GENERAL EURICO ,62 - VARJOTA ,FORTALEZA - CE;13129;-3.7388525;-38.48738821545872
4949758;TMR PARTICIPACOES E ENGENHARIA LTDA;4120400;MARCOS MACEDO ,1333 - ALDEOTA ,FORTALEZA - CE;3129;-3.736444;-38.4905576
51281788;M V SERVICOS;8219999;DOM LUIS ,1200 - ALDEOTA ,FORTALEZA - CE;14353;-3.7362805;-38.4907015
13797748;PRO-AUDIO REPRESENTACOES;4619200;GENERAL SAMPAIO ,1193 - CENTRO ,FORTALEZA - CE;12851;-3.729036;-38.5310985
7165359;DEPOSITO TRES IRMAOS;4744099;FRANCISCANO ,953 - BOM JARDIM ,FORTALEZA - CE;8219;-3.8001436;-38.6062416
42832852;HF CLINIC;8630503;SANTOS DUMONT ,6740 - COCO ,FORTALEZA - CE;5470;-3.7448947;-38.47282039022944
46995034;HADASSA MODAS;1412601;ACUCENA ,91 - ALVARO WEYNE ,FORTALEZA - CE;4285;-3.7200745;-38.567679
36543139;INNOVA ART AND SCIENCIES;8599604;GENERAL PIRAGIBE ,546 - PARQUELANDIA ,FORTALEZA - CE;5933;-3.73925025;-38.55783816681917
31806941;CLOUT;4772500;EDILSON BRASIL SOARES ,1751 - EDSON QUEIROZ ,FORTALEZA - CE;12240;-3.7883854;-38.47012648798082
14936246;FIOS E FORMAS;9602501;CORONEL ALEXANDRINO ,712 - MONTESE ,FORTALEZA - CE;10137;-3.76557425;-38.552252915447326
26594241;4S EMPREENDIMENTOS IMOBILIARIOS;6810201;OLIVEIRA PAIVA ,1964 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;12987;-3.7964194;-38.48865201485615
27545670;BOUTIQUE LUANA ARAGAO;4781400;ANTONIO FIUZA ,468 - ITAOCA ,FORTALEZA - CE;1505;-3.772089;-38.5529169
49819093;DROGARIA NORDESTE;4771701;PRESIDENTE COSTA E SILVA ,1711 - JANGURUSSU ,FORTALEZA - CE;13347;-3.8293629;-38.5284382
13374375;AUTONOMY REABILITACAO E ATIVIDADE FISICA;9313100;PERU ,886 - PARANGABA ,FORTALEZA - CE;9659;-3.778761;-38.5525781
51110528;XM VARIEDADES;4781400;LIBERATO BARROSO ,307 - CENTRO ,FORTALEZA - CE;1561;-3.72784565;-38.53052104189234
19751316;MARTEL PROJETOS;8211300;JOSE VILAR ,1707 - ALDEOTA ,FORTALEZA - CE;704;-3.7395952;-38.5056717
17681028;SAIADEJ ASSESSORIA E NEGOCIOS;7020400;JAIME BENEVOLO ,1465 - FATIMA ,FORTALEZA - CE;6415;-3.7456962;-38.529666439050494
8961857;AUTO CENTER J A OLIVEIRA;4520001;OSCAR FRANCA ,3584 - BOM JARDIM ,FORTALEZA - CE;9885;-3.7914151;-38.6011582
10229707;DECADA PARTICIPACOES;4110700;SANTOS DUMONT ,2456 - ALDEOTA ,FORTALEZA - CE;8081;-3.7349787;-38.5029247
22330966;SQUID;1412601;SANTOS DUMONT ,2122 - ALDEOTA ,FORTALEZA - CE;4210;-3.7329008;-38.509812246842685
16619457;AUTOSEAL;4530703;NELSON MACHADO ,382 - AMADEU FURTADO ,FORTALEZA - CE;9023;-3.7427953;-38.55757364686223
18241436;SERIFLEX;1412601;PEDRO I ,978 - CENTRO ,FORTALEZA - CE;4197;-24.5034245;-47.8436169
47167591;FJ AUTO CENTER E GNV;4520001;FREI JOSE MARIA ,426 - PRESIDENTE KENNEDY ,FORTALEZA - CE;10093;-3.73650795;-38.57514038856861
36248093;JJ VARIEDADES;4781400;PAU BRANCO ,857 - DOM LUSTOSA ,FORTALEZA - CE;1160;-3.7517482;-38.5857456
21680982;FD INDUSTRIA E COMERCIO DE ROUPAS;1412601;PORTO FELIZ ,188 - SAO BENTO ,FORTALEZA - CE;4237;-3.862753;-38.4908888
24942775;PLASTFESTAS;4789099;CASTELO DE CASTRO ,573 - JANGURUSSU ,FORTALEZA - CE;11641;-3.8343363;-38.5213415
43268373;DNA CONSULTORIA;7490104;SANTOS DUMONT ,6740 - COCO ,FORTALEZA - CE;11456;-3.7448947;-38.47282039022944
30065816;AGILISYS SISTEMAS;4752100;FRANCISCO SA ,3667 - CARLITO PAMPLONA ,FORTALEZA - CE;13608;-3.717578;-38.556842
21264843;JAZZ CAROLINA SUCUPIRA;4110700;CAROLINA SUCUPIRA ,480 - ALDEOTA ,FORTALEZA - CE;8110;-3.7418733;-38.49866081377005
7298821;FARMACIAS ALDESUL;4771701;VISCONDE DE MAUA ,85 - MEIRELES ,FORTALEZA - CE;13357;-3.7269223;-38.4963408
11448539;G7 MOTOS;4541206;GENERAL CLARINDO DE QUEIROZ ,1072 - CENTRO ,FORTALEZA - CE;16478;-3.7322135;-38.5317132
17047293;JOER IMOVEIS;6822600;BARAO DO RIO BRANCO ,1071 - CENTRO ,FORTALEZA - CE;13707;-3.72775075;-38.528370395011024
11857032;TRIIIO IMOBILIARIA;6821801;BEIRA MAR ,3960 - MUCURIPE ,FORTALEZA - CE;9480;-3.72391025;-38.485652847754245
11067766;MERCEARIA OSSIAM;4712100;MAJOR VERISSIMO ,320 - ELLERY ,FORTALEZA - CE;3794;-3.72218505;-38.562772013766256
32004230;HOT MANIA SEXY;4789099;DEMETRIO MENEZES ,3619 - PADRE ANDRADE ,FORTALEZA - CE;11654;-3.7357;-38.5840481
49174473;SALT PEPPER BURGER;5620104;PROFESSOR NOGUEIRA ,125 - PARQUELANDIA ,FORTALEZA - CE;14877;-3.7338791;-38.5497396
40810058;DUO EMPREENDIMENTOS IMOBILIARIOS;4120400;MARIA MARGARIDA ,1021 - PRESIDENTE KENNEDY ,FORTALEZA - CE;3025;-3.7331111;-38.5655791
36314479;SLAV SERVICOS;8211300;BENJAMIN MOURA ,280 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;127;-3.7984682;-38.4975515
39987883;SEMPRE SOLUCOES TECNOLOGIAS;6209100;MILAGRES ,18 - ALDEOTA ,FORTALEZA - CE;8860;-3.7362426;-38.5141496
15513194;CHOCOPLAST;4789099;CASTRO E SILVA ,428 - CENTRO ,FORTALEZA - CE;11711;-3.7230844;-38.52974
32858791;MERCADINHO JA;4712100;MOURA MATOS ,1717 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;3436;-3.810284;-38.544674
50997164;ART VIP;4755502;VICENTE LINHARES ,521 - ALDEOTA ,FORTALEZA - CE;16240;-3.7421436;-38.4997104
38204373;MERCADINHO ESPERANCA;4755502;HUMAITA ,26 - PRAIA DO FUTURO II ,FORTALEZA - CE;16191;-3.7713125;-38.4413172
31646831;CASA SEM MEDIDA;5611201;JOSE VILAR ,3040 - DIONISIO TORRES ,FORTALEZA - CE;2523;-3.7497097;-38.5092834
34264041;PIZZARIA PITTSSA;5611201;JOSE CANDIDO ,274 - MONTE CASTELO ,FORTALEZA - CE;2276;-3.7287016;-38.550965
9347601;BRAVAFORTE;8211300;QUINZE DE NOVEMBRO ,315 - MONTESE ,FORTALEZA - CE;16;-3.768592;-38.5568315
14028976;CONDOMINIO MAISON KARINE;8112500;SILVA JATAHY ,1325 - MEIRELES ,FORTALEZA - CE;7537;-3.7304409;-38.4893583
18316996;PANIFICADORA PASTA MADRE;1091102;CLAUDIO BRASIL ,42 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;14230;-3.76861075;-38.49658811388889
38710259;PLANETA TUR VIAGENS E TURISMO;7911200;PEDRO DANTAS ,110 - DIAS MACEDO ,FORTALEZA - CE;15003;-3.7863294;-38.51869340445652
19127111;PIZZARIA & GALETERIA + SABOR;5611201;GUARAREMA ,408 - GRANJA LISBOA ,FORTALEZA - CE;1932;-3.7799986;-38.6174281
41875437;KIKA RACOES;4789004;ROSINHA SAMPAIO ,1098 C - JARDIM GUANABARA ,FORTALEZA - CE;14736;-3.7248182;-38.5953264
53603842;DA PROJETOS E CONSULTORIA;7112000;DOUTOR GILBERTO STUDART ,55 - COCO ,FORTALEZA - CE;7064;-3.7413961;-38.4873288
44522314;ELMAR RIBEIRO SERVICOS MEDICOS;8630503;DOUTOR HERMES LIMA ,45 - EDSON QUEIROZ ,FORTALEZA - CE;5487;-3.75736425;-38.48274508308472
26009777;WJ ASSESSORIA E CORRETORA;6622300;TENENTE BOTELHO ,415 - MONDUBIM ,FORTALEZA - CE;14069;-3.814201;-38.5615654
45162651;JAV CONSTRUCOES;4120400;CORONEL JUCA ,509 - ALDEOTA ,FORTALEZA - CE;2817;-3.7369872;-38.4907507
38905529;FORTAL SERVICE OUTSOURCING DE IMPRESSAO;4751201;ANTONIO MARTINS ,940 - RODOLFO TEOFILO ,FORTALEZA - CE;16027;-3.7514106;-38.5565799
41606397;M4 GESTAO PATRIMONIAL;6822600;PROFESSOR ISAIAS GOMES ,167 - EDSON QUEIROZ ,FORTALEZA - CE;13681;-3.7589476;-38.48073972511198
23106452;YUCCA GASTRONOMIA;5611201;FREI MANSUETO ,160 - MEIRELES ,FORTALEZA - CE;2477;-3.7260327;-38.48964097452142
50377566;NOVA CASA UTILIDADES E CONSTRUCOES;4744099;DOUTOR PEDRO TELES ,41 - FATIMA ,FORTALEZA - CE;8280;-3.7469284;-38.5223206
4642218;M & S ASSISTENCIA TECNICA;7490104;2 DE OUTUBRO ,23 - PARQUELANDIA ,FORTALEZA - CE;11613;-3.7357422;-38.55781889437285
19812077;PITANGA FLOR;1412601;916 ,185 - CONJUNTO CEARA II ,FORTALEZA - CE;4204;-3.7764245;-38.6178615
33343238;PONTO DO PRANTINHO;5611203;BRILHANTE ,124 - SIQUEIRA ,FORTALEZA - CE;4577;-3.8052539;-38.6241132
23796236;LA 219;4772500;COQUEIRO VERDE ,219 - BARRA DO CEARA ,FORTALEZA - CE;12294;-3.6989754;-38.5779772
52004109;FARMACIA VIDA E SAUDE;4771701;24 DE OUTUBRO ,322 - GENIBAU ,FORTALEZA - CE;13349;-3.7590232;-38.6039595
22569401;GG LOCACAO DE VEICULOS;7711000;ENGENHEIRO JOAO NOGUEIRA ,253 - CARLITO PAMPLONA ,FORTALEZA - CE;12483;-3.713255;-38.55897881089619
34612023;PRIME CONNECT;4752100;GUILHERME ROCHA ,381 - CENTRO ,FORTALEZA - CE;13614;-3.7232005;-38.53893752795288
73261133;FLAJAN DISTRIBUIDORA;4712100;PAPI JUNIOR ,2316 - BELA VISTA ,FORTALEZA - CE;3361;-3.7545205;-38.56000709237711
53739261;GR SERVICOS MEDICOS;8610102;MATIAS BECK ,79 - PRESIDENTE KENNEDY ,FORTALEZA - CE;14495;-3.7360286;-38.5740318
33311471;SV SERVICOS MEDICOS;8630503;WASHINGTON SOARES ,3000 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;5262;-3.7838385;-38.4822865
14026426;MEGA FRETE TRANSPORTES;4930202;1016 ,135 - CONJUNTO CEARA ,FORTALEZA - CE;10734;-3.7705383;-38.6167927
20414767;D & C;4752100;WASHINGTON SOARES ,4335 - SAPIRANGA ,FORTALEZA - CE;13548;-3.79398795;-38.47961813785068
52149152;OLIVEIRA TABACARIA;4723700;PAPI JUNIOR ,2270 - BELA VISTA ,FORTALEZA - CE;15457;-3.7542853;-38.55969982194679
52501591;ALPHA WORK;8211300;VIENA WEYNE ,812 - CAMBEBA ,FORTALEZA - CE;955;-3.80172235;-38.48698769289925
21774663;FS HOLDING;6822600;DA ABOLICAO ,2021 - MEIRELES ,FORTALEZA - CE;13659;-3.73050055;-38.503206933312114
11252060;EEFM PROF JOCIE CAMINHA DE MENESES;8550301;ITU ,120 - BOM JARDIM ,FORTALEZA - CE;15888;-3.78633395;-38.60153671090684
